"","practice","fmi1","fmi2","fmi3","fmi4","fmi5","fmi6","fmi7","fmi8","fmi9","fmi10","fmi11","fmi12","fmi13","fmi14"
"142",1,0.8,0.6,0.2,0.6,0.2,0.2,0.2,0,0,0.2,0.8,0.4,0.8,0.4
"143",0,1,0.8,0.4,0.6,0,0.2,0.4,0.8,0.6,0.8,0.6,0.6,0.2,0
"144",0,0.8,0.4,0.4,0.2,0.4,0.8,0.6,0.2,0.2,0.2,0.2,0.4,0.8,0.2
"145",0,1,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,1,0
"146",0,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.6,0.2,0.2,0.4,0.4,0.6,0.8
"147",0,1,0.4,0.4,0.8,0.2,0,0.4,0.8,0.4,0.2,0.4,0.2,1,0.8
"148",0,0.4,0.2,0.4,0.2,0.8,0.2,0.2,0.2,0,0,0.2,0,0.8,0
"149",1,0.8,0.2,0.6,0.8,1,0.8,0.8,0.8,0.6,0.6,0.6,0.8,0.6,0.6
"150",0,1,0.6,0.6,0.2,0.2,0.2,0.2,0.8,0.8,0.2,0.2,0.8,1,0.8
"151",0,0.8,0.4,0.4,0.8,0.6,0.6,0.4,0.4,0.2,0.2,0.2,0,0.6,0.2
"152",0,0.8,0.6,0.6,0.8,0.8,0.8,0.6,0.6,0.6,0.8,0.8,0.8,0.4,0.6
"153",1,0.6,0.6,0.8,0.6,1,0.4,0.8,0.8,0.6,0.8,1,1,0.2,1
"154",0,1,0.6,0.4,1,1,1,1,0.6,0.8,0.4,0.8,1,0.4,0.6
"155",0,1,0.6,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.2,0.8
"156",0,1,0.6,0.6,0.6,0.6,0.4,0.8,0.4,0.2,0.4,0.6,0.6,0.2,0.6
"157",0,0.4,0.2,0.4,0.8,0.6,0.4,0.4,0.8,0.2,0,0,0,0.2,0.2
"158",0,0.8,0,0,0.6,0.8,1,1,1,1,0.8,0.2,0.2,0.8,0.6
"159",0,1,1,0.6,0,0.8,0.2,1,0.2,0,0,0,0.2,0.6,0
"160",0,0.6,0.2,0.6,1,1,1,0.8,1,1,0.4,0.8,0.8,0.4,0.8
"161",0,1,1,0.8,0.8,1,0.8,1,0.8,0.8,0.6,0.8,0.8,1,0.8
"162",0,0.8,0.4,0.4,0.8,1,0.6,0,0.4,0.8,0.6,0.4,0.6,0.6,0.6
"163",0,0.6,0.2,0,0.4,0.2,0.4,0.2,0,0.4,0.2,0,0.2,1,0.2
"164",1,0.8,0.6,1,1,1,0.8,0.8,0.6,0.8,0.6,1,0.8,0.2,1
"165",0,0.2,0,0,0.2,0,0.4,0,0.2,0.2,0,0.2,0,0.8,0
"166",0,0.8,0.4,0.2,0.4,0.6,0.8,0.6,0.8,0.4,0.6,0.8,0.8,0.2,0.8
"167",0,0.6,0.4,0.4,0.6,0.6,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.6,0.6
"168",0,1,0.8,0.2,0.4,0.8,0.6,0.4,0.8,0.2,0.8,0.8,0.2,0.2,0.8
"169",1,1,0.6,0.6,0.8,0.8,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.8
"170",0,1,0.8,0.8,0.8,0.8,0.4,0.8,0.4,0.6,0.6,0.8,1,0.6,0.8
"171",0,1,0.2,0,0,0.4,0,0.4,0.2,0,0.2,0.2,0.4,0.6,0.4
"172",1,0.4,0.6,0.6,0.8,0.6,0.6,0.4,0.4,0.6,0.4,0.6,0.4,0.8,0.6
"173",0,0.4,0.4,0.4,0.2,0.2,0.4,0.4,0.6,0.4,0.4,0.6,0.2,0.4,0.2
"174",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175",0,0.4,0.2,0.2,0.6,1,0.6,0.6,0.6,0.2,0.4,0.6,0.2,0.8,0.8
"176",1,1,0.6,1,0.6,1,0.8,0.8,0.4,0.2,1,0.6,0.6,0.8,1
"177",0,1,0.4,0.6,0,0.8,0.2,0.8,0.2,0,0.2,0.2,0.4,0.6,1
"178",0,0.8,0.4,0.4,0.6,0.4,0.2,0.6,0.2,0.2,0.2,0.4,0.6,0.4,0.8
"179",0,0.8,0.4,0.2,0.4,1,0.6,0.2,0.8,0.4,0.2,0.6,0,1,0.6
"180",1,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,1
"181",0,0.8,0.2,0.6,0.6,0.6,0.6,1,0.8,0.2,0.4,0.8,1,0.4,0.4
"182",0,1,0,0.4,0.6,1,0.6,0.8,0.8,0.6,0.6,0.6,0.6,0,1
"183",0,1,0.6,0.6,1,1,0.6,0.6,0.6,0.2,0.6,1,0.6,0.2,0.8
"184",1,1,0.8,0.8,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,0.6,1
"185",0,0.8,0,0.4,0.2,0.2,0.2,0.4,0.2,0.2,0.4,0,0,1,0.6
"186",0,1,0.8,0.6,0.8,0.8,0.6,0.8,0.6,0.8,0.4,0.6,0.4,0.2,0.8
"187",1,0.8,0.6,0.8,0.8,0.4,0.8,0.8,1,0.6,1,0.6,1,0.6,1
"188",1,0.8,0.6,0.6,1,1,0.6,0.8,0.4,0.8,0.6,0.8,0.8,0.6,0.8
"189",0,0.8,0.4,0.6,0.8,0.6,0.6,0.6,0.4,0.6,0.8,0.6,0.8,0.6,0.6
"190",1,1,1,0.8,0.2,0.8,0.8,1,1,0.4,0.8,0.8,0.8,0.2,1
"191",0,0.6,0.4,0.8,0.6,0.2,0.4,0.8,0.4,0.6,0.6,0.6,0.8,0.2,0.4
"192",1,0,0,0,0.2,0,0,0,0,0,0,0,0,0.6,0.2
"193",0,0.6,0.6,0.4,0.2,0.8,0,0.6,0.4,0,0.6,0.4,0.2,1,0.6
"194",0,0.6,0.4,0.2,0.2,0.2,0,0,0.2,0.2,0.2,0,0.6,0.8,0.8
"195",1,0.8,0.8,0.8,0.6,1,0.6,0.8,0.8,0.6,0.8,0.8,0.8,0.6,1
"196",1,0.8,1,0.8,0.6,1,0.2,0.8,0.8,0.2,0.6,0.8,1,0.8,1
"197",0,1,0.4,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.2,0.4,0.2,0.4,0.8
"198",1,0.6,0.6,0.2,0.4,1,0.2,0.4,0.4,0.4,0.2,0.8,0.2,0.6,1
"199",1,0.8,1,0.8,0.8,0.8,0.6,0.8,0.8,0.8,0.4,1,0.8,0.6,1
"200",0,0.8,0.2,0,0.8,1,0.4,0.4,0.6,0.6,0.8,0.8,0.6,0.4,0.6
"201",0,0.8,0.6,0,1,0.6,0.8,0.8,0.8,1,0.6,0.6,0.6,1,0.8
"202",0,0.6,0.6,0.8,0.4,1,0.2,0.4,0,0.2,0.2,0.4,0.4,0.8,0.4
"203",0,1,0.666666666666667,0.666666666666667,1,1,0.666666666666667,1,0.666666666666667,0.666666666666667,1,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667
"204",0,1,1,0.666666666666667,0.666666666666667,1,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667
"205",0,1,0.333333333333333,0.333333333333333,1,1,0.666666666666667,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667,0.333333333333333,1,0.666666666666667
"206",0,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"208",0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,1,1,1,1,0.666666666666667,0.333333333333333,0.666666666666667
"209",0,0.666666666666667,0,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,1,0.666666666666667,0.333333333333333,0.333333333333333,0,0.333333333333333,0.666666666666667,0.666666666666667
"210",0,0.666666666666667,0,0.333333333333333,0.333333333333333,1,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,1,0.333333333333333,0,1,0.666666666666667
"211",0,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667
"212",0,0.333333333333333,1,0.333333333333333,1,1,0.333333333333333,0,1,1,1,0.333333333333333,0.666666666666667,1,1
"213",0,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,1,0,0.666666666666667,0.666666666666667,1,0.666666666666667
"214",0,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,1,0.666666666666667,1,0.333333333333333,0.666666666666667,0.666666666666667
"215",0,0.666666666666667,0.666666666666667,1,1,0.666666666666667,1,0.666666666666667,0.666666666666667,0.666666666666667,1,1,0.666666666666667,0.666666666666667,0.666666666666667
"216",0,1,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0
"217",0,1,1,0.333333333333333,0.333333333333333,0.666666666666667,0,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0
"218",0,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0
"219",0,0.333333333333333,0,0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,0,1,0.333333333333333
"220",0,0.666666666666667,1,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,1,0.333333333333333,0.666666666666667
"221",0,0.666666666666667,0,0.666666666666667,0.333333333333333,1,0.666666666666667,0.666666666666667,1,0.666666666666667,1,0.333333333333333,0.333333333333333,0,0
"222",0,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333
"223",0,0.666666666666667,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,1,1
"224",0,1,1,1,0.666666666666667,1,0.666666666666667,1,1,0.666666666666667,0.666666666666667,0.666666666666667,0,0.333333333333333,0.666666666666667
"225",0,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,1,0.333333333333333
"226",0,0.666666666666667,0.333333333333333,1,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,1,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667
"227",0,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"228",0,1,1,0.333333333333333,1,1,0.666666666666667,1,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0
"229",0,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333
"230",0,0.666666666666667,0.333333333333333,0.666666666666667,0,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667
"231",0,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,1,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667
